,country,latitude,longitude,name
12,AT,47.516231,14.550072,Austria
19,BE,50.503887,4.469936,Belgium
21,BG,42.733883,25.48583,Bulgaria
51,CY,35.126413,33.429859,Cyprus
53,DE,51.165691,10.451526,Germany
55,DK,56.26392,9.501785,Denmark
60,EE,58.595272,25.013607,Estonia
66,FI,61.92411,25.748151,Finland
71,FR,46.227638,2.213749,France
73,GB,55.378051,-3.435973,United Kingdom
85,GR,39.074208,21.824312,Greece
95,HR,45.1,15.2,Croatia
97,HU,47.162494,19.503304,Hungary
99,IE,53.41291,-8.24389,Ireland
107,IT,41.87194,12.56738,Italy
130,LT,55.169438,23.881275,Lithuania
131,LU,49.815273,6.129583,Luxembourg
132,LV,56.879635,24.603189,Latvia
149,MT,35.937496,14.375416,Malta
162,NL,52.132633,5.291266,Netherlands
175,PL,51.919438,19.145136,Poland
180,PT,39.399872,-8.224454,Portugal
185,RO,45.943161,24.96676,Romania
193,SE,60.128161,18.643501,Sweden
196,SI,46.151241,14.995463,Slovenia
198,SK,48.669026,19.699024,Slovakia
